Date,Open,High,Low,Close,Adj Close,Volume
06-05-2020,1939.800049,1953.699951,1893.599976,1903.599976,1882.151001,3517431
07-05-2020,1910,1934.449951,1883.349976,1891.650024,1870.335693,3166754
08-05-2020,1939.099976,1939.5,1886.25,1893.400024,1872.065918,2686530
11-05-2020,1909,1951.400024,1909,1935.300049,1913.493896,2449841
12-05-2020,1933.400024,1956.5,1910.25,1949.5,1927.533813,3256595
13-05-2020,1994,1994,1925.650024,1949.650024,1927.682129,2656665
14-05-2020,1910,1923.099976,1891.099976,1902.349976,1880.915039,2263146
15-05-2020,1916,1917.400024,1865.199951,1892.900024,1871.571411,3173682
18-05-2020,1907,1952.949951,1872.099976,1945.599976,1923.677734,3727694
19-05-2020,1903,1966.449951,1903,1948.650024,1926.693359,3198693
20-05-2020,1950,1962.900024,1931.699951,1953.599976,1931.587646,2778505
21-05-2020,1946,1998,1941.150024,1991.199951,1968.764038,3400908
22-05-2020,1977.099976,2032,1961.25,2020.349976,1997.585449,3663418
26-05-2020,2015,2024,1925,1943,1921.107056,4575317
27-05-2020,1959,2010,1941.25,2005.300049,1982.705078,3482160
28-05-2020,1988.5,2014,1971.300049,2004.300049,1981.716431,3475681
29-05-2020,1982,2002.650024,1962.400024,1972.349976,1950.126343,7237735
01-06-2020,1990,2060,1981.099976,2045.25,2022.204834,3747773
02-06-2020,2060.199951,2081,2040.050049,2047.150024,2024.083618,2443886
03-06-2020,2051.850098,2063.75,2020,2046.150024,2029.041626,3699799
04-06-2020,2046.75,2100,2046.75,2091.550049,2074.062256,4048593
05-06-2020,2091.600098,2098,2040.300049,2048.25,2031.124146,3573289
08-06-2020,2078.25,2095,2062.100098,2071.75,2054.42749,2957841
09-06-2020,2063.100098,2095.5,2060.25,2072.050049,2054.725098,2909439
10-06-2020,2077.050049,2132,2073.5,2108.75,2091.118164,5168397
11-06-2020,2100,2105,2061.800049,2067.649902,2050.361572,2269513
12-06-2020,2011.199951,2049.199951,2011,2039.5,2022.447266,2842642
15-06-2020,2039.099976,2059,2000.949951,2029.900024,2012.927612,2399022
16-06-2020,2065,2073.949951,2031,2045.800049,2028.694702,2146528
17-06-2020,2046,2058.850098,2026.550049,2047.800049,2030.677856,2703527
18-06-2020,2045,2059.199951,2025.199951,2038.099976,2021.058838,1944389
